Package                               Current        Wanted        Latest  Location                                      Depended by
@cloudflare/vitest-pool-workers        0.16.3        0.16.5        0.16.5  node_modules/@cloudflare/vitest-pool-workers  app
@cloudflare/workers-types        4.20260507.1  4.20260515.1  4.20260515.1  node_modules/@cloudflare/workers-types        app
@playwright/test                       1.59.1        1.60.0        1.60.0  node_modules/@playwright/test                 app
artillery                              2.0.30        2.0.31        2.0.31  node_modules/artillery                        app
miniflare                        4.20260507.1  4.20260511.0  4.20260511.0  node_modules/miniflare                        app
prettier                                3.8.1         3.8.3         3.8.3  node_modules/prettier                         app
protobufjs                              8.2.1         8.2.1         8.3.0  node_modules/protobufjs                       app
wrangler                               4.90.0        4.91.0        4.91.0  node_modules/wrangler                         app
zod                                   3.25.76       3.25.76         4.4.3  node_modules/zod                              app
